chain,ip,manual,old_city,old_country,new_city,new_country,confidence,distance_km,completed,globalping_id,reasons
everscale,146.59.177.20,False,Roubaix,France,Roubaix,France,approximate,0.0,True,,
everscale,148.113.180.6,False,Beauharnois,Canada,Beauharnois,Canada,approximate,0.0,True,,
everscale,159.69.58.44,False,Falkenstein,Germany,Falkenstein,Germany,operator_city,0.0,True,,
everscale,161.97.123.32,False,Lauterbourg,France,Lauterbourg,France,disputed,0.0,False,2F0Eb6JrkUZhmpQaB000216iF,country disagreement: ip-api / dbip
everscale,176.9.122.147,False,Falkenstein,Germany,Falkenstein,Germany,operator_city,0.0,True,,
everscale,176.37.117.178,False,Kyiv,Ukraine,Kyiv,Ukraine,approximate,0.0,True,,
everscale,178.63.165.86,False,Falkenstein,Germany,Falkenstein,Germany,disputed,0.0,False,2PEBYISo0OciflHHV000216iF,coordinates differ by over 100 km: ip-api / dbip
everscale,185.216.192.123,False,Rostov-on-Don,Russia,Rostov-on-Don,Russia,approximate,0.0,True,,
everscale,188.165.46.205,False,Roubaix,France,Roubaix,France,approximate,0.0,True,,
everscale,188.244.38.159,False,Moscow,Russia,Moscow,Russia,approximate,0.0,True,,
everscale,194.0.104.4,False,Schieren,Luxembourg,Schieren,Luxembourg,approximate,0.0,True,,
everscale,194.0.104.7,False,Schieren,Luxembourg,Schieren,Luxembourg,approximate,0.0,True,,
everscale,194.0.104.9,False,Schieren,Luxembourg,Schieren,Luxembourg,approximate,0.0,True,,
everscale,194.0.104.23,False,Schieren,Luxembourg,Schieren,Luxembourg,approximate,0.0,True,,
everscale,194.0.104.25,False,Schieren,Luxembourg,Schieren,Luxembourg,approximate,0.0,True,,
everscale,194.0.104.51,False,Schieren,Luxembourg,Schieren,Luxembourg,approximate,0.0,True,,
everscale,194.0.104.53,False,Schieren,Luxembourg,Schieren,Luxembourg,approximate,0.0,True,,
everscale,194.0.104.88,False,Schieren,Luxembourg,Schieren,Luxembourg,approximate,0.0,True,,
everscale,194.0.104.96,False,Schieren,Luxembourg,Schieren,Luxembourg,approximate,0.0,True,,
everscale,194.0.104.110,False,Schieren,Luxembourg,Schieren,Luxembourg,approximate,0.0,True,,
everscale,194.0.104.116,False,Schieren,Luxembourg,Schieren,Luxembourg,approximate,0.0,True,,
everscale,194.0.104.125,False,Schieren,Luxembourg,Schieren,Luxembourg,approximate,0.0,True,,
everscale,195.3.223.158,False,Warsaw,Poland,Warsaw,Poland,approximate,0.0,True,,
everscale,198.244.200.11,False,London,United Kingdom,London,United Kingdom,approximate,0.0,True,,
everscale,198.244.200.12,False,London,United Kingdom,London,United Kingdom,approximate,0.0,True,,
